"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","test_read_csv[chromium]","tests","2026-06-22","passed","2026-06-22","","test_dataHandling","",""
"","2059","test_titleCheck[chromium]","tests","2026-06-22","passed","2026-06-22","","test_home","",""
"","1","test_sum[chromium-2-3-5]","tests","2026-06-22","passed","2026-06-22","","test_dataHandling","",""
"","1617","test_validate_UI_elements[chromium]","tests","2026-06-22","passed","2026-06-22","","test_home","",""
"","2","test_json_1[chromium]","tests","2026-06-22","passed","2026-06-22","","test_dataHandling","",""
"","248","test_read_excel[chromium]","tests","2026-06-22","passed","2026-06-22","","test_dataHandling","",""
"","1","test_sum[chromium-4-5-9]","tests","2026-06-22","passed","2026-06-22","","test_dataHandling","",""
"","5351","test_validatingCartCount[chromium]","tests","2026-06-22","passed","2026-06-22","","test_results","",""
"","1","test_sum[chromium-6-7-13]","tests","2026-06-22","passed","2026-06-22","","test_dataHandling","",""
"","9","test_cli_env[chromium]","tests","2026-06-22","passed","2026-06-22","","test_dataHandling","",""
"","2810","test_positiveLogin[chromium]","tests","2026-06-22","passed","2026-06-22","","test_login","",""
"","24","test_json[chromium]","tests","2026-06-22","passed","2026-06-22","","test_dataHandling","",""
"","38","test_csv[chromium]","tests","2026-06-22","passed","2026-06-22","","test_dataHandling","",""
"","402","test_write_excel[chromium]","tests","2026-06-22","passed","2026-06-22","","test_dataHandling","",""
